1,In,00:29:03.803
	2,In,00:29:03.806
		3,In,00:29:03.806
		3,Out,00:29:03.806
	2,Out,00:29:03.806
	4,In,00:29:03.806
		5,In,00:29:03.806
		5,Out,00:29:03.806
		6,In,00:29:03.806
			7,In,00:29:03.807
				8,In,00:29:03.807
				8,Out,00:29:03.807
			7,Out,00:29:03.807
			9,In,00:29:03.823
				10,In,00:29:03.823
				10,Out,00:29:03.823
			9,Out,00:29:03.823
		6,Out,00:29:03.823
		11,In,00:29:03.823
			12,In,00:29:03.823
				13,In,00:29:03.823
				13,Out,00:29:03.823
			12,Out,00:29:03.823
			14,In,00:29:03.839
				15,In,00:29:03.839
				15,Out,00:29:03.839
			14,Out,00:29:03.839
		11,Out,00:29:03.839
		16,In,00:29:03.839
			17,In,00:29:03.839
			17,Out,00:29:03.839
		16,Out,00:29:03.839
		5,In,00:29:03.839
		5,Out,00:29:03.839
		6,In,00:29:03.839
			7,In,00:29:03.839
				8,In,00:29:03.839
				8,Out,00:29:03.839
			7,Out,00:29:03.839
			9,In,00:29:03.853
				10,In,00:29:03.853
				10,Out,00:29:03.853
			9,Out,00:29:03.853
		6,Out,00:29:03.853
		11,In,00:29:03.853
			12,In,00:29:03.853
				13,In,00:29:03.853
				13,Out,00:29:03.853
			12,Out,00:29:03.853
			14,In,00:29:03.870
				15,In,00:29:03.870
				15,Out,00:29:03.870
			14,Out,00:29:03.870
		11,Out,00:29:03.870
		16,In,00:29:03.870
			17,In,00:29:03.870
			17,Out,00:29:03.870
		16,Out,00:29:03.870
		5,In,00:29:03.870
		5,Out,00:29:03.870
		6,In,00:29:03.870
			7,In,00:29:03.870
				8,In,00:29:03.870
				8,Out,00:29:03.870
			7,Out,00:29:03.870
			9,In,00:29:03.886
				10,In,00:29:03.886
				10,Out,00:29:03.886
			9,Out,00:29:03.886
		6,Out,00:29:03.886
		11,In,00:29:03.886
			12,In,00:29:03.886
				13,In,00:29:03.886
				13,Out,00:29:03.886
			12,Out,00:29:03.886
			14,In,00:29:03.900
				15,In,00:29:03.900
				15,Out,00:29:03.900
			14,Out,00:29:03.900
		11,Out,00:29:03.900
		16,In,00:29:03.900
			17,In,00:29:03.900
			17,Out,00:29:03.900
		16,Out,00:29:03.900
		5,In,00:29:03.900
		5,Out,00:29:03.900
		6,In,00:29:03.900
			7,In,00:29:03.900
				8,In,00:29:03.900
				8,Out,00:29:03.900
			7,Out,00:29:03.900
			9,In,00:29:03.900
				10,In,00:29:03.900
				10,Out,00:29:03.900
			9,Out,00:29:03.900
		6,Out,00:29:03.917
		11,In,00:29:03.917
			12,In,00:29:03.917
				13,In,00:29:03.917
				13,Out,00:29:03.917
			12,Out,00:29:03.917
			14,In,00:29:03.917
				15,In,00:29:03.917
				15,Out,00:29:03.917
			14,Out,00:29:03.917
		11,Out,00:29:03.932
		16,In,00:29:03.932
			17,In,00:29:03.932
			17,Out,00:29:03.932
		16,Out,00:29:03.932
		5,In,00:29:03.932
		5,Out,00:29:03.932
		6,In,00:29:03.932
			7,In,00:29:03.932
				8,In,00:29:03.932
				8,Out,00:29:03.932
			7,Out,00:29:03.932
			9,In,00:29:03.941
				10,In,00:29:03.941
				10,Out,00:29:03.941
			9,Out,00:29:03.941
		6,Out,00:29:03.949
		11,In,00:29:03.949
			12,In,00:29:03.949
				13,In,00:29:03.949
				13,Out,00:29:03.949
			12,Out,00:29:03.949
			14,In,00:29:03.957
				15,In,00:29:03.957
				15,Out,00:29:03.957
			14,Out,00:29:03.957
		11,Out,00:29:03.968
		16,In,00:29:03.968
			17,In,00:29:03.968
			17,Out,00:29:03.968
		16,Out,00:29:03.968
		5,In,00:29:03.968
		5,Out,00:29:03.968
		6,In,00:29:03.968
			7,In,00:29:03.969
				8,In,00:29:03.969
				8,Out,00:29:03.969
			7,Out,00:29:03.969
			9,In,00:29:03.976
				10,In,00:29:03.976
				10,Out,00:29:03.976
			9,Out,00:29:03.976
		6,Out,00:29:03.987
		11,In,00:29:03.987
			12,In,00:29:03.987
				13,In,00:29:03.987
				13,Out,00:29:03.987
			12,Out,00:29:03.987
			14,In,00:29:03.993
				15,In,00:29:03.994
				15,Out,00:29:03.994
			14,Out,00:29:03.994
		11,Out,00:29:04.003
		16,In,00:29:04.003
			17,In,00:29:04.003
			17,Out,00:29:04.003
		16,Out,00:29:04.003
		5,In,00:29:04.003
		5,Out,00:29:04.003
		6,In,00:29:04.003
			7,In,00:29:04.004
				8,In,00:29:04.004
				8,Out,00:29:04.005
			7,Out,00:29:04.005
			9,In,00:29:04.012
